rank	name	verdict	download_count	n_direct_deps	n_in_dataset	n_tp	n_notp	n_unk	dep_tp_ratio
138	openai	notp	168726649	8	8	5	3	0	0.625
139	wcwidth	notp	168368432						
140	networkx	tp	167169117						
141	poetry-core	tp	166124183						
142	dnspython	tp	165826889						
143	huggingface-hub	notp	163933433	8	8	6	2	0	0.75
144	python-multipart	tp	162957273						
145	opentelemetry-exporter-otlp-proto-common	notp	161486684	1	1	0	1	0	0.0
146	distro	notp	160348139						
147	azure-core	notp	157048013	2	2	2	0	0	1.0
148	scikit-learn	tp	156329663	4	4	3	1	0	0.75
149	redis	notp	153384547	1	1	0	1	0	0.0
150	joblib	tp	150883487						
151	msal	notp	149057900	3	3	3	0	0	1.0
152	ptyprocess	notp	148750343						
153	pexpect	notp	148669243						
154	azure-identity	notp	146904781	5	5	2	3	0	0.4
155	bcrypt	tp	146000904						
156	snowflake-connector-python	notp	145796896	18	18	13	5	0	0.7222222222222222
157	matplotlib	tp	145587567	9	9	6	3	0	0.6666666666666666
158	gitpython	notp	145057865	2	2	1	1	0	0.5
159	ruff	tp	144131574						
160	opentelemetry-exporter-otlp	notp	143735162	2	2	0	2	0	0.0
161	keyring	notp	143397843	7	7	2	5	0	0.2857142857142857
162	fonttools	tp	143354688						
163	google-cloud-core	notp	142059775	3	3	2	1	0	0.6666666666666666
164	jiter	tp	140590487						
165	ruamel-yaml	notp	139204204						
166	async-timeout	notp	138829921						
167	threadpoolctl	tp	137568565						
168	itsdangerous	tp	137327579						
169	tabulate	notp	136902729						
170	types-requests	notp	135079161	1	1	1	0	0	1.0
171	kiwisolver	tp	134896232						
172	textual	notp	134773724	6	6	2	4	0	0.3333333333333333
173	jaraco-classes	notp	133257060	1	1	0	1	0	0.0
174	secretstorage	tp	133088700	2	2	2	0	0	1.0
175	alembic	notp	132602155	4	4	1	3	0	0.25
176	asn1crypto	notp	132018510						
177	prompt-toolkit	notp	131148318	1	1	0	1	0	0.0
178	jeepney	tp	130749346						
179	deprecated	notp	129960504	2	2	0	2	0	0.0
180	smmap	notp	129870821						
181	kubernetes	notp	129684683	9	9	3	6	0	0.3333333333333333
182	google-crc32c	notp	128184949						
183	zstandard	notp	127666341						
184	chardet	tp	127438258						
185	google-resumable-media	tp	127139451	1	1	0	1	0	0.0
186	gitdb	notp	126987259	1	1	0	1	0	0.0
187	orjson	tp	125712453						
188	pytest-cov	notp	125305202	3	3	3	0	0	1.0
189	defusedxml	tp	125135137						
190	opentelemetry-instrumentation	notp	124115760	4	4	1	3	0	0.25
191	prometheus-client	notp	123682414						
192	blinker	tp	123313234						
193	tzlocal	notp	123258412	1	1	1	0	0	1.0
194	editables	notp	123246773						
195	pyproject-hooks	tp	122845411						
196	rapidfuzz	tp	122233058						
197	jaraco-context	notp	122112425	1	1	0	1	0	0.0
198	jaraco-functools	notp	121341209	1	1	0	1	0	0.0
199	contourpy	notp	120786484	1	1	1	0	0	1.0
200	paramiko	notp	120509249	4	4	3	1	0	0.75
201	backoff	notp	119702665						
202	google-api-python-client	tp	119452188	5	5	4	1	0	0.8
203	build	tp	118799101	5	5	2	3	0	0.4
204	jsonpointer	notp	118159648						
205	pytest-asyncio	tp	117135896	3	3	3	0	0	1.0
206	dill	notp	115774792						
207	google-cloud-bigquery	tp	115278247	7	7	5	2	0	0.7142857142857143
208	docker	notp	114291713	3	3	2	1	0	0.6666666666666666
209	cycler	tp	114058699						
210	setuptools-scm	tp	112059707	4	4	2	2	0	0.5
211	google-cloud-aiplatform	tp	111994010	14	14	10	4	0	0.7142857142857143
212	watchfiles	tp	111606681	1	1	1	0	0	1.0
213	fastjsonschema	notp	111456880						
214	email-validator	notp	110833486	2	2	2	0	0	1.0
215	cloudpickle	tp	110287525						
216	mako	notp	109622947	1	1	1	0	0	1.0
217	msal-extensions	notp	109417715	1	1	0	1	0	0.0
218	uritemplate	tp	109229553						
219	google-auth-oauthlib	notp	108769549	2	2	1	1	0	0.5
220	azure-storage-blob	notp	107129835	4	4	2	2	0	0.5
221	httplib2	tp	107085711	1	1	0	1	0	0.0
222	google-auth-httplib2	notp	107062022	2	2	2	0	0	1.0
223	marshmallow	tp	106998336	2	2	2	0	0	1.0
224	transformers	tp	106726800	9	9	4	5	0	0.4444444444444444
225	nodeenv	notp	105108820						
226	tokenizers	notp	103177334						
227	babel	tp	102787233	1	1	1	0	0	1.0
228	sqlparse	notp	101190969						
229	hf-xet	tp	99648848						
230	sympy	tp	99598467	1	1	0	1	0	0.0
231	mypy	notp	99321177	5	5	3	2	0	0.6
232	ipython	tp	98999909	11	11	4	7	0	0.36363636363636365
233	docstring-parser	tp	98141701						
234	gcsfs	notp	97662579	8	8	4	4	0	0.5
235	uv	tp	97467509						
236	aiofiles	tp	96948458						
237	xmltodict	tp	96670071						
238	pre-commit	notp	95822352	5	5	1	4	0	0.2
239	uvloop	notp	95792495						
240	jsonpatch	notp	95721283						
241	black	tp	95470402	8	8	5	3	0	0.625
242	toml	notp	93680719						
243	durationpy	notp	93594561						
244	identify	notp	93436086						
245	mpmath	notp	93410756						
246	traitlets	tp	93271362						
247	tornado	tp	93255865						
