rank	name
1744	pathlib2
1745	mongomock
1746	pdbr
1748	azure-mgmt-resource-deploymentstacks
1751	o365
1752	port-for
1753	redis-py-cluster
1755	dj-database-url
1756	azure-mgmt-resource-deployments
1758	google
1759	azure-mgmt-resource-templatespecs
1760	azure-mgmt-resource-deploymentscripts
1762	strawberry-graphql
1764	pulumi
1765	keras-applications
1766	python-arango
1767	apache-airflow-core
1769	types-beautifulsoup4
1771	albumentations
1774	azure-eventgrid
1775	pip-system-certs
1776	dynaconf
1778	vertexai
1779	mypy-boto3-ssm
1780	korean-lunar-calendar
1781	jq
1782	prance
1784	evaluate
1786	bitstring
1787	uamqp
1788	aws-cdk-lib
1789	claude-agent-sdk
1790	paho-mqtt
1791	gensim
1792	nanobind
1793	atomicwrites
1794	crewai-tools
1795	dagster-postgres
1796	azure-functions
1800	mistral-common
1801	funcy
1802	dagster
1803	memory-profiler
1806	pyunormalize
1807	etils
1808	ag-ui-protocol
1809	pynndescent
1811	python-rapidjson
1812	multivolumefile
1814	gguf
1816	pyshp
1817	jaxtyping
1818	databricks-agents
1819	msoffcrypto-tool
1820	gprof2dot
1825	mypy-boto3-ecr
1826	dagster-pipes
1827	polib
1828	umap-learn
1829	google-cloud
1830	tensorboardx
1831	flask-migrate
1833	fpdf
1834	azure-graphrbac
1835	primp
1836	pydocstyle
1837	arpeggio
1838	vllm
1840	compressed-tensors
1841	imagehash
1843	convertdate
1844	minimal-snowplow-tracker
1846	snowflake
1847	pywinrm
1848	robotframework
1849	orderedmultidict
1850	opentelemetry-instrumentation-celery
1852	configupdater
1855	vertica-python
1856	geojson
1857	pastel
1859	dirtyjson
1860	furl
1861	dagster-webserver
1865	rdkit
1866	pefile
1868	codespell
1869	construct
1870	sqlalchemy-redshift
1871	pypng
1872	pdpyras
1873	dataclass-wizard
1874	inquirer
1878	python-crfsuite
1879	base58
1880	flatten-dict
1881	premailer
1882	async-property
1884	luqum
1885	django-model-utils
1886	tf-keras
1888	intervaltree
1889	anyascii
1890	types-simplejson
1891	impyla
1892	chroma-hnswlib
1893	intelhex
1894	requests-kerberos
1895	uuid7
1896	acryl-datahub
1897	lxml-stubs
1899	fixedint
1900	xmod
1901	editor
1902	runs
1903	dparse
1904	dagster-graphql
1905	ctranslate2
1907	pytest-postgresql
1908	llama-index-workflows
1909	influxdb
1910	interegular
1912	python-iso639
1914	python-ldap
1917	ifaddr
1918	inquirerpy
1919	gdown
1920	snowflake-legacy
1921	channels
1924	priority
1926	s3path
1927	types-pygments
1928	k8
1933	pybuildkite
1934	apache-airflow-providers-sftp
1937	django-celery-results
1938	pagerduty
1939	tensorstore
1940	flaky
1943	pygit2
1944	shellcheck-py
1946	pfzy
1947	autobahn
1949	lancedb
1951	outlines-core
1953	sphinx-argparse
1954	safehttpx
1956	snakeviz
1957	ibmcloudant
1958	nanoid
1959	pystache
1960	tablib
1961	openinference-semantic-conventions
1963	llama-cloud
1964	xformers
1965	fasttext-wheel
1966	pathy
1967	aiomultiprocess
1968	mypy-boto3-athena
1973	pytest-dotenv
1975	coolname
1976	pmdarima
1977	pamqp
1980	courlan
1981	grimp
1982	prometheus-flask-exporter
1984	teradatasqlalchemy
1985	trafilatura
1988	cssbeautifier
1989	cobble
1990	python-whois
1991	wadler-lindig
1994	zenpy
1995	openinference-instrumentation
1996	mammoth
1997	dm-tree
2001	typed-ast
2002	opentelemetry-instrumentation-boto3sqs
2003	h5netcdf
2004	formulaic
2005	python-socks
2006	subprocess-tee
2007	asteval
2009	swebench
2011	groovy
2012	lm-format-enforcer
2014	mitmproxy-wireguard
2016	whenever
2017	dagster-shared
2018	presto-python-client
2019	pylance
2021	cfn-flip
2022	amplitude-analytics
2023	betterproto
2026	munch
2027	apache-airflow-providers-microsoft-mssql
2028	rank-bm25
2029	funcsigs
2030	pymsgbox
2032	flask-restful
2033	probableparsing
2035	pywinpty
2037	pynvml
2038	pycairo
2040	flexparser
2041	flexcache
2042	tensorflowjs
2043	python-frontmatter
2044	pytz-deprecation-shim
2045	interface-meta
2052	yamale
2053	salesforce-bulk
2054	googletrans
2055	striprtf
2056	onnxruntime-gpu
2057	ortools
2061	tavily-python
2062	safety-schemas
2063	donfig
2064	puremagic
2065	google-adk
2066	multipledispatch
2067	opentelemetry-instrumentation-asyncpg
2068	roboflow
2069	zict
2070	mypy-boto3-kinesis
2073	mypy-boto3-stepfunctions
2074	datefinder
2075	eralchemy
2078	hf-transfer
2079	opentelemetry-instrumentation-sqlite3
2080	pulp
2081	fastrlock
2082	scrapbook
2084	aws-psycopg2
2085	pyodps
2087	c7n-org
2088	hmsclient
2089	marko
2090	pyusb
2091	alibabacloud-tea-util
2093	depyf
2094	duckduckgo-search
2095	asgi-correlation-id
2096	blosc2
2097	cloudscraper
2098	boxsdk
2099	opentelemetry-sdk-extension-aws
2100	qtpy
2101	azure-ai-ml
