rank	name	version	summary	uploaded_via	upload_time	filename	recent_7d_downloads	github_url	verdict
88	starlette	0.52.1	The little ASGI library that shines.	twine/6.1.0 CPython/3.13.7	2026-01-18T13:34:11.062588	starlette-0.52.1.tar.gz	31923988	https://github.com/Kludex/starlette	tp
89	oauthlib	3.3.1	A generic, spec-compliant, thorough implementation of the OAuth request-signing logic	twine/6.1.0 CPython/3.12.9	2025-06-19T22:48:08.269738	oauthlib-3.3.1.tar.gz	49257090	https://github.com/oauthlib/oauthlib	tp
90	psutil	7.2.2	Cross-platform lib for process and system monitoring.	twine/6.2.0 CPython/3.12.3	2026-01-28T18:15:36.514806	psutil-7.2.2-cp37-abi3-win_arm64.whl	38345942	https://github.com/giampaolo/psutil	notp
91	pyparsing	3.3.2	pyparsing - Classes and methods to define and execute parsing grammars	twine/6.2.0 CPython/3.12.3	2026-01-21T03:57:59.360367	pyparsing-3.3.2.tar.gz	34774834	https://github.com/pyparsing/pyparsing	notp
92	fastapi	0.129.0	FastAPI framework, high performance, easy to learn, fast to code, ready for production	"uv/0.10.2 {""installer"":{""name"":""uv"",""version"":""0.10.2"",""subcommand"":[""publish""]},""python"":null,""implementation"":{""name"":null,""version"":null},""distro"":{""name"":""Ubuntu"",""version"":""24.04"",""id"":""noble"",""libc"":null},""system"":{""name"":null,""release"":null},""cpu"":null,""openssl_version"":null,""setuptools_version"":null,""rustc_version"":null,""ci"":true}"	2026-02-12T13:54:54.528557	fastapi-0.129.0-py3-none-any.whl	25958060	https://github.com/fastapi/fastapi	tp
93	google-genai	1.64.0	GenAI Python SDK	twine/6.2.0 CPython/3.11.2	2026-02-19T02:06:13.950702	google_genai-1.64.0.tar.gz	2667355	https://github.com/googleapis/python-genai	tp
94	cachetools	7.0.1	Extensible memoizing collections and decorators	twine/6.2.0 CPython/3.12.3	2026-02-10T22:24:05.030345	cachetools-7.0.1.tar.gz	15386196	https://github.com/tkem/cachetools	notp
95	opentelemetry-proto	1.39.1	OpenTelemetry Python Proto	twine/6.2.0 CPython/3.9.25	2025-12-11T13:32:48.681348	opentelemetry_proto-1.39.1.tar.gz	14301687	https://github.com/open-telemetry/opentelemetry-python	notp
96	tenacity	9.1.4	Retry code until it succeeds	twine/6.1.0 CPython/3.13.7	2026-02-07T10:45:33.841653	tenacity-9.1.4.tar.gz	28184941	https://github.com/jd/tenacity	tp
97	et-xmlfile	2.0.0	An implementation of lxml.xmlfile for the standard library	twine/5.1.1 CPython/3.10.15	2024-10-25T17:25:40.039150	et_xmlfile-2.0.0.tar.gz	51476864		notp
98	openpyxl	3.1.5	A Python library to read/write Excel 2010 xlsx/xlsm files	twine/5.1.0 CPython/3.8.19	2024-06-28T14:03:44.161710	openpyxl-3.1.5.tar.gz	43055258		notp
99	grpcio-tools	1.78.1	Protobuf code generator for gRPC	twine/6.2.0 CPython/3.13.11	2026-02-20T01:19:44.109934	grpcio_tools-1.78.1.tar.gz	836521	https://github.com/grpc/grpc	notp
